device_id,timestamp,kWh,temperature,humidity,rainfall,hour_of_day,day_of_week,is_weekend,is_holiday,lag_24,lag_168,rolling_mean_24,rolling_mean_168
a3ed2fe218a724b4fepeni,2026-01-09 16:00:00,0.4478623499999998,28.5,61.0,0.1,16,5,0,0,0.3520136666666666,0.2366135,0.1110817440972221,0.1318119331845237
a3ed2fe218a724b4fepeni,2026-01-09 17:00:00,0.5076751583333331,27.9,64.0,0.1,17,5,0,0,0.3811230666666663,0.3104840583333331,0.1163547479166666,0.1329856897321427
a3ed2fe218a724b4fepeni,2026-01-09 18:00:00,0.5197959583333329,27.0,67.0,0.0,18,5,0,0,0.3902223166666664,0.3178968166666666,0.1217536496527776,0.1341874703373015
a3ed2fe218a724b4fepeni,2026-01-09 19:00:00,0.5139940083333333,26.5,70.0,0.0,19,5,0,0,0.3858667749999998,0.3143484916666663,0.1270922843749999,0.1353758365079364
a3ed2fe218a724b4fepeni,2026-01-09 20:00:00,0.484440125,26.2,70.0,0.0,20,5,0,0,0.3636799749999998,0.2962739583333333,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-09 21:00:00,0.0,26.0,70.0,0.2,21,5,0,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-09 22:00:00,0.0,25.4,74.0,0.2,22,5,0,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-09 23:00:00,0.0,25.2,75.0,0.1,23,5,0,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 00:00:00,0.0,25.0,77.0,0.0,0,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 01:00:00,0.0,25.0,78.0,0.0,1,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 02:00:00,0.0,24.7,81.0,0.0,2,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 03:00:00,0.0,24.3,81.0,0.4,3,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 04:00:00,0.0,24.2,78.0,0.0,4,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 05:00:00,0.0,23.9,79.0,0.1,5,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 06:00:00,0.0,23.6,83.0,0.5,6,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 07:00:00,0.0,23.8,82.0,0.2,7,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 08:00:00,0.0,24.0,86.0,0.0,8,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 09:00:00,0.0,25.2,79.0,0.1,9,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
a3ed2fe218a724b4fepeni,2026-01-10 10:00:00,0.0,27.4,65.0,0.0,10,6,1,0,0.0,0.0,0.1321239572916666,0.1364958732142856
